brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Gucci,flower dionysus shoulder bag beige,a161237,2019-12-06,2021-01-15,7days,BA,Y
El estilo de Claire,beads cropped jacket black,a1140859,2021-01-02,2021-01-15,4days,O,
Danha,embroidery point oriental mini skirt blue,a1140859,2021-01-02,2021-01-15,4days,B,
Danha,graphics pattern top pink,a1140859,2021-01-02,2021-01-15,4days,T,
Burberry London,buckle basic pattern zipup-jumper navy,a1140740,2021-01-01,2021-01-15,7days,O,Y
Prada,ruffle detail long coat,a110231,2018-10-18,2021-01-15,7days,O,Y
Max Mara,strap basic pattern wrap-coat black,a1139960,2020-12-26,2021-01-15,7days,O,Y
Molliolli,pocket basic pattern fur-outer ivory,a115159,2019-01-29,2021-01-15,4days,O,Y
Gucci,dionysus cross bag,a1143028,2021-01-14,2021-01-15,4days,BA,Y
Sandro,pattern pointed cardigan black,a117306,2019-03-02,2021-01-15,7days,O,Y
Louis Vuitton,twist monogram patent shoulder bag black,a1140216,2020-12-28,2021-01-15,7days,BA,Y
Tory Burch,flower ethnic pattern cross bag white,a1141255,2021-01-05,2021-01-15,4days,BA,Y
Prada,color fur detail coat black,a1137815,2020-12-18,2021-01-15,7days,O,Y
Prada,zipper detail cape padding jumper,a1135135,2020-12-04,2021-01-15,7days,O,Y
Chloe,faye small bag black,a1129386,2020-11-09,2021-01-15,4days,BA,Y
Prada,logo hobo bag black,a1143143,2021-01-15,2021-01-15,4days,BA,Y
Gucci,microssima mini cross body bag pink,a1142921,2021-01-14,2021-01-14,4days,BA,Y
Time,pocket basic pattern coat black,a1142921,2021-01-14,2021-01-14,4days,O,Y
The Izzat,check pattern double breasted coat gray,a1142834,2021-01-13,2021-01-14,4days,O,Y
El estilo de Claire,broach shirt layered dress brown,a1141367,2021-01-06,2021-01-14,4days,D,
Mojosphine,Geometric pattern ribbon belt dress,a1141367,2021-01-06,2021-01-14,4days,D,
Ted Baker,color block pattern wool fur-outer,a1138992,2020-12-21,2021-01-14,4days,O,Y
& Other Stories,basic pattern sweater ivory,a1143019,2021-01-14,2021-01-14,4days,T,
Fendi,stripe pattern two way bucket bag brown,a1142679,2021-01-13,2021-01-14,7days,BA,Y
Balmain,basic pattern sweat-shirts white,a1142679,2021-01-13,2021-01-14,7days,T,Y
Celine,lined zip-up jumper black,a1142679,2021-01-13,2021-01-14,7days,O,Y
Burberry,shawl collar double coat,a1142679,2021-01-13,2021-01-14,7days,O,Y
Fendi,two way bucket bag white,a192991,2020-04-02,2021-01-14,7days,BA,Y
Chanel,brooch stripe pattern turtle neck turtleneck navy,a1136028,2020-12-09,2021-01-14,4days,T,Y
Sandro,ruffle basic pattern A-Line dress black,a1136028,2020-12-09,2021-01-14,4days,D,Y
Prada,quilted cross body bag black,a1142924,2021-01-14,2021-01-14,4days,BA,Y
Sandro,button check pattern cape navy,a1142924,2021-01-14,2021-01-14,4days,O,Y
Dior,croisiere patent lady bag,a1127813,2020-10-31,2021-01-14,4days,BA,Y
Bottega Veneta,intrecciato clutch bag black 2,a1142841,2021-01-13,2021-01-14,4days,BA,Y
Gucci,padlock GG canvas shoulder bag,a143862,2019-09-29,2021-01-14,4days,BA,Y
Celine,belted short jacket,a1141112,2021-01-04,2021-01-13,4days,O,Y
Gucci,flap cross bag black,a1141099,2021-01-04,2021-01-13,4days,BA,Y
Prada,single button modern coat black,a1142328,2021-01-11,2021-01-13,4days,O,Y
Gucci,vintage web shoulder bag black,a1139204,2020-12-22,2021-01-13,7days,BA,Y
Plastic Island,button flower pattern A-Line dress ivory,a13934,2018-03-27,2021-01-13,4days,D,Y
Gucci,brooch check pattern H-Line dress ivory,a1141580,2021-01-07,2021-01-13,4days,D,Y
Reneevon,ribbon casual dress dark pink,a1136116,2020-12-09,2021-01-13,4days,D,Y
Sorry Too Much Love,pocket basic pattern fur-outer pink,a1142554,2021-01-12,2021-01-13,4days,O,
Gucci,microssima emily mini bag black,a1142736,2021-01-13,2021-01-13,7days,BA,Y
Louis Vuitton,monogram shoulder bag black,a164734,2019-12-13,2021-01-13,4days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1140871,2021-01-02,2021-01-13,4days,BA,Y
Gucci,mamont chain bag black,a1128095,2020-11-01,2021-01-13,4days,BA,Y
Miu Miu,lace detail flared dress multi,a171604,2020-01-08,2021-01-13,4days,D,Y
Prada,collar point long coat multi,a189599,2020-03-22,2021-01-13,7days,O,Y
Yves Saint Laurent,basic pattern wool sweater black,a1129563,2020-11-09,2021-01-12,4days,T,Y
Zooc,belt basic pattern coat black,a1141925,2021-01-09,2021-01-12,4days,O,Y
Saint Laurent,chevron quilted cross bag black,a1141925,2021-01-09,2021-01-12,4days,BA,Y
Plastic Island,basic pattern A-Line dress skyblue,a1141640,2021-01-08,2021-01-12,4days,D,Y
Prada,button check pattern wool singlebreasted-jacket brown,a1120719,2020-09-21,2021-01-12,4days,O,Y
Celine,luggage bag black,a1133560,2020-11-27,2021-01-12,7days,BA,Y
Vivienne Westwood,button basic pattern shirt-dress navy,a182915,2020-02-16,2021-01-12,4days,D,Y
Saint Laurent,mini sunset chain bag black,a1142471,2021-01-12,2021-01-12,7days,BA,Y
Maison Kitsune,printing lettering pattern t-shirts grey,a1139255,2020-12-22,2021-01-11,4days,T,Y
